A|Agricultura, ganadería, silvicultura y pesca
01|Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
011|Cultivos no perennes
0111|Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas
0112|Cultivo de arroz
0113|Cultivo de hortalizas, raíces y tubérculos
0114|Cultivo de caña de azúcar
0115|Cultivo de tabaco
0116|Cultivo de plantas para fibras textiles
0119|Otros cultivos no perennes
012|Cultivos perennes
0121|Cultivo de la vid
0122|Cultivo de frutos tropicales y subtropicales
0123|Cultivo de cítricos
0124|Cultivo de frutos con hueso y pepitas
0125|Cultivo de otros árboles y arbustos frutales y frutos secos
0126|Cultivo de frutos oleaginosos
0127|Cultivo de plantas para bebidas
0128|Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas
0129|Otros cultivos perennes
013|Propagación de plantas
0130|Propagación de plantas
014|Producción ganadera
0141|Explotación de ganado bovino para la producción de leche
0142|Explotación de otro ganado bovino y búfalos
0143|Explotación de caballos y otros equinos
0144|Explotación de camellos y otros camélidos
0145|Explotación de ganado ovino y caprino
0146|Explotación de ganado porcino
0147|Avicultura
0149|Otras explotaciones de ganado
015|Producción agrícola combinada con la producción ganadera
0150|Producción agrícola combinada con la producción ganadera
016|Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha
0161|Actividades de apoyo a la agricultura
0162|Actividades de apoyo a la ganadería
0163|Actividades de preparación posterior a la cosecha
0164|Tratamiento de semillas para reproducción
017|Caza, captura de animales y servicios relacionados con las mismas
0170|Caza, captura de animales y servicios relacionados con las mismas
02|Silvicultura y explotación forestal
021|Silvicultura y otras actividades forestales
0210|Silvicultura y otras actividades forestales
022|Explotación de la madera
0220|Explotación de la madera
023|Recolección de productos silvestres, excepto madera
0230|Recolección de productos silvestres, excepto madera
024|Servicios de apoyo a la silvicultura
0240|Servicios de apoyo a la silvicultura
03|Pesca y acuicultura
031|Pesca
0311|Pesca marina
0312|Pesca en agua dulce
032|Acuicultura
0321|Acuicultura marina
0322|Acuicultura en agua dulce
B|Industrias extractivas
05|Extracción de antracita, hulla y lignito
051|Extracción de antracita y hulla
0510|Extracción de antracita y hulla
052|Extracción de lignito
0520|Extracción de lignito
06|Extracción de crudo de petróleo y gas natural
061|Extracción de crudo de petróleo
0610|Extracción de crudo de petróleo
062|Extracción de gas natural
0620|Extracción de gas natural
07|Extracción de minerales metálicos
071|Extracción de minerales de hierro
0710|Extracción de minerales de hierro
072|Extracción de minerales metálicos no férreos
0721|Extracción de minerales de uranio y torio
0729|Extracción de otros minerales metálicos no férreos
08|Otras industrias extractivas
081|Extracción de piedra, arena y arcilla
0811|Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra
0812|Extracción de gravas y arenas; extracción de arcilla y caolín
089|Industrias extractivas n.c.o.p.
0891|Extracción de minerales para productos químicos y fertilizantes
0892|Extracción de turba
0893|Extracción de sal
0899|Otras industrias extractivas n.c.o.p.
09|Actividades de apoyo a las industrias extractivas
091|Actividades de apoyo a la extracción de petróleo y gas natural
0910|Actividades de apoyo a la extracción de petróleo y gas natural
099|Actividades de apoyo a otras industrias extractivas
0990|Actividades de apoyo a otras industrias extractivas
C|Industria manufacturera
10|Industria de la alimentación
101|Procesado y conservación de carne y elaboración de productos cárnicos
1011|Procesado y conservación de carne
1012|Procesado y conservación de volateria
1013|Elaboración de productos cárnicos y de volateria
102|Procesado y conservación de pescados, crustáceos y moluscos
1020|Procesado y conservación de pescados, crustáceos y moluscos
103|Procesado y conservación de frutas y hortalizas
1031|Procesado y conservación de patatas
1032|Elaboración de zumos de frutas y hortalizas
1039|Otro procesado y conservación de frutas y hortalizas
104|Fabricación de aceites y grasas vegetales y animales
1041|Fabricación de aceites y grasas
1042|Fabricación de margarina y grasas comestibles similares
105|Fabricación de productos lácteos
1051|Preparación de leche y fabricación de  sus derivados
1052|Elaboración de helados
106|Fabricación de productos de molinería, almidones y productos amiláceos
1061|Fabricación de productos de molinería
1062|Fabricación de almidones y productos amiláceos
107|Fabricación de productos de panadería y pastas alimenticias
1071|Fabricación de pan y de productos frescos de panadería y pastelería
1072|Fabricación de galletas y productos de panadería y pastelería de larga duración
1073|Fabricación de pastas alimenticias, cuscús y productos similares
108|Fabricación de otros productoa alimenticios
1081|Fabricación de azúcar
1082|Fabricación de cacao, chocolate y productos de confitería
1083|Elaboración de café, té e infusiones
1084|Elaboración de especias, salsas y condimentos
1085|Elaboración de platos y comidas preparados
1086|Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos
1089|Elaboración de otros productos alimenticios n.c.o.p.
109|Fabricación de productos para la alimentación animal
1091|Fabricación de productos para la alimentación de animales de granja
1092|Fabricación de productos para la alimentación de animales de compañía
11|Fabricación de bebidas
110|Fabricación de bebidas
1101|Destilación, rectificación y mezcla de bebidas alcohólicas
1102|Elaboración de vinos
1103|Elaboración de sidra y otras bebidas fermentadas a partir de frutas
1104|Elaboración de otras bebidas no destiladas, procedentes de la fermentación
1105|Fabricación de cerveza
1106|Fabricación de malta
1107|Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas
12|Industria del tabaco
120|Industria del tabaco
1200|Industria del tabaco
13|Industria textil
131|Preparación e hilado de fibras textiles
1310|Preparación e hilado de fibras textiles
132|Fabricación de tejidos textiles
1320|Fabricación de tejidos textiles
133|Acabado de textiles
1330|Acabado de textiles
139|Fabricación de otros productos textiles
1391|Fabricación de tejidos de punto
1392|Fabricación de artículos confeccionados con textiles, excepto prendas de vestir
1393|Fabricación de alfombras y moquetas
1394|Fabricación de cuerdas, cordeles, bramantes y redes
1395|Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir
1396|Fabricación de otros productos textiles de uso técnico e industrial
1399|Fabricación de otros productos textiles n.c.o.p.
14|Confección de prendas de vestir
141|Confección de prendas de vestir, excepto de peletería
1411|Confección de prendas de vestir de cuero
1412|Confección de ropa de trabajo
1413|Confección de otras prendas de vestir exteriores
1414|Confección de ropa interior
1419|Confección de otras prendas de vestir y accesorios
142|Fabricación de artículos de peletería
1420|Fabricación de artículos de peletería
143|Confección de prendas de vestir de punto
1431|Confección de calcetería
1439|Confección de otras prendas de vestir de punto
15|Industria del cuero y del calzado
151|Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje y de gusrnicionería y talabartería; preparación y teñido de pieles
1511|Preparación, curtido y acabado del cuero; preparación y teñido de pieles
1512|Fabricación de artículos de marroquinería, viaje y de guarnicionería y talabartería
152|Fabricación de calzado
1520|Fabricación de calzado
16|Industria de la madera y del corcho, excepto muebles; cestería y espartería
161|Aserrado y cepillado de la madera
1610|Aserrado y cepillado de la madera
162|Fabricación de productos de madera, corcho, cestería y espartería
1621|Fabricación de chapas y tableros de madera
1622|Fabricación de suelos de madera ensamblados
1623|Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción
1624|Fabricación de envases y embalajes de madera
1629|Fabricación de otros productos de madera; artículos de corcho, cestería y espartería
17|Industria del papel
171|Industria de pasta papelera, papel y cartón
1711|Fabricación de pasta papelera
1712|Fabricación de papel y cartón
172|Fabricación de artículos de papel y cartón
1721|Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón
1722|Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico
1723|Fabricación de artículos de papelería
1724|Fabricación de papeles pintados
1729|Fabricación de otros artículos de papel y cartón
18|Artes gráficas y reproducción de soportes grabados
181|Artes gráficas y servicios relacionados con las mismas
1811|Impresión de periódicos
1812|Otras actividades de impresión y artes gráficas
1813|Servicios de preimpresión y preparación de soportes
1814|Encuadernación y servicios relacionados con la misma
182|Reproducción de soportes grabados
1820|Reproducción de soportes grabados
19|Coquerías y refino de petróleo
191|Coquerías
1910|Coquerías
192|Refino de petróleo
1920|Refino de petróleo
20|Industria química
201|Fabricación de productos químicos básicos, compuestos nitrogeneados, fertilizantes, plásticos y caucho sintético en formas primarias
2011|Fabricación de gases industriales
2012|Fabricación de colorantes y pigmentos
2013|Fabricación de otros productos básicos de química inorgánica
2014|Fabricación de otros productos básicos de química orgánica
2015|Fabricación de fertilizantes y compuestos nitrogenados
2016|Fabricación de plásticos en formas primarias
2017|Fabricación de caucho sintético en formas primarias
202|Fabricación de pesticidas y otros productos agroquímicos
2020|Fabricación de pesticidas y otros productos agroquímicos
203|Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas
2030|Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas
204|Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos
2041|Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento
2042|Fabricación de perfumes y cosméticos
205|Fabricación de otros productos químicos
2051|Fabricación de explosivos
2052|Fabricación de colas
2053|Fabricación de aceites esenciales
2059|Fabricación de otros productos químicos n.c.o.p.
206|Fabricación de fibras artificiales y sintéticas
2060|Fabricación de fibras artificiales y sintéticas
21|Fabricación de productos farmacéuticos
211|Fabricación de productos farmacéuticos de base
2110|Fabricación de productos farmacéuticos de base
212|Fabricación de especialidades farmacéuticas
2120|Fabricación de especialidades farmacéuticas
22|Fabricación de productos de caucho y plásticos
221|Fabricación de productos de caucho
2211|Fabricación de neumáticos y cámaras de caucho; reconstrucción y recauchutado de neumáticos
2219|Fabricación de otros productos de caucho
222|Fabricación de productos de plástico
2221|Fabricación de placas, hojas, tubos y perfiles de plástico
2222|Fabricación de envases y embalajes de plástico
2223|Fabricación de productos de plástico para la construcción
2229|Fabricación de otros productos de plástico
23|Fabricación de otros productos minerales no metálicos
231|Fabricación de vidrio y productos de vidrio
2311|Fabricación de vidrio plano
2312|Manipulado y transformación de vidrio plano
2313|Fabricación de vidrio hueco
2314|Fabricación de fibra de vidrio
2319|Fabricación y manipulado de otro vidrio, incluido el vidrio técnico
232|Fabricación de productos cerámicos refractarios
2320|Fabricación de productos cerámicos refractarios
233|Fabricación de productos cerámicos para la construcción
2331|Fabricación de azulejos y baldosas de cerámica
2332|Fabricación de ladrillos, tejas y productos de tierras cocidas para la construcción
234|Fabricación de otros productos cerámicos
2341|Fabricación de artículos cerámicos de uso doméstico y ornamental
2342|Fabricación de aparatos sanitarios cerámicos
2343|Fabricación de aisladores y piezas aislantes de material cerámico
2344|Fabricación de otros productos cerámicos de uso técnico
2349|Fabricación de otros productos cerámicos
235|Fabicación de cemento, cal y yeso
2351|Fabricación de cemento
2352|Fabricación de cal y yeso
236|Fabricación de elementos de hormigón, cemento y yeso
2361|Fabricación de elementos de hormigón para la construcción
2362|Fabricación de elementos de yeso para la construcción
2363|Fabricación de hormigón fresco
2364|Fabricación de mortero
2365|Fabricación de fibrocemento
2369|Fabricación de otros productos de hormigón, yeso y cemento
237|Corte, tallado y acabado de la piedra
2370|Corte, tallado y acabado de la piedra
239|Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.
2391|Fabricación de productos abrasivos
2399|Fabricación de otros productos minerales no metálicos n.c.o.p.
24|Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones
241|Fabricación de productos básicos de hierro, acero y ferroaleaciones
2410|Fabricación de productos básicos de hierro, acero y ferroaleaciones
242|Fabricación de tubos, tuberias, perfiles huecos  y sus accesorios, de acero
2420|Fabricación de tubos, tuberias, perfiles huecos  y sus accesorios, de acero
243|Fabricación de otros productos de primera transformación del acero
2431|Estirado en frío
2432|Laminación en frío
2433|Producción de perfiles en frío por conformación con plegado
2434|Trefilado en frío
244|Producción de metales preciosos y de otros metales no férreos
2441|Producción de metales preciosos
2442|Producción de aluminio
2443|Producción de plomo, zinc y estaño
2444|Producción de cobre
2445|Producción de otros metales no férreos
2446|Procesamiento de combustibles nucleares
245|Fundición de metales
2451|Fundición de hierro
2452|Fundición de acero
2453|Fundición de metales ligeros
2454|Fundición de otros metales no férreos
25|Fabricación de productos metálicos, excepto maquinaria y equipo
251|Fabricación de elementos metálicos para la construcción
2511|Fabricación de estructuras metálicas y sus componentes
2512|Fabricación de carpintería metálica
252|Fabricación de cisternas, grandes depósitos y contenedores de metal
2521|Fabricación de radiadores y calderas para calefacción central
2529|Fabricación de otras cisternas, grandes depósitos y contenedores de metal
253|Fabricación de generadores de vapor, excepto calderas para calefacción central
2530|Fabricación de generadores de vapor, excepto calderas para calefacción central
254|Fabricación de armas y municiones
2540|Fabricación de armas y municiones
255|Forja, estampación y embutición de metales; metalurgia de polvos
2550|Forja, estampación y embutición de metales; metalurgia de polvos
256|Tratamiento y revestimiento de metales; Ingeniería mecánica por cuenta de terceros
2561|Tratamiento y revestimiento de metales
2562|Ingeniería mecánica por cuenta de terceros
257|Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería
2571|Fabricación de artículos de cuchillería y cubertería
2572|Fabricación de cerraduras y herrajes
2573|Fabricación de herramientas
259|Fabricación de otros productos metálicos
2591|Fabricación de bidones y toneles de hierro o acero
2592|Fabricación de envases y embalajes metálicos ligeros
2593|Fabricación de productos de alambre, cadenas y muelles
2594|Fabricación de pernos y productos de tornillería
2599|Fabricación de otros productos metálicos n.c.o.p.
26|Fabricación de productos informáticos, electrónicos y ópticos
261|Fabricación de componentes electrónicos y circuitos impresos ensamblados
2611|Fabricación de componentes electrónicos
2612|Fabricación de circuitos impresos ensamblados
262|Fabricación de ordenadores y equipos periféricos
2620|Fabricación de ordenadores y equipos periféricos
263|Fabricación de equipos de telecomunicaciones
2630|Fabricación de equipos de telecomunicaciones
264|Fabricación de productos electrónicos de consumo
2640|Fabricación de productos electrónicos de consumo
265|Fabricación de instrumentos y aparatos de medida, verificación y navegación; fabricación de relojes
2651|Fabricación de instrumentos y aparatos de medida, verificación y navegación
2652|Fabricación de relojes
266|Fabricación de equipos de radiación, electromédicos y electroterapéuticos
2660|Fabricación de equipos de radiación, electromédicos y electroterapéuticos
267|Fabricación de instrumentos de óptica y equipo fotográfico
2670|Fabricación de instrumentos de óptica y equipo fotográfico
268|Fabricación de soportes magnéticos y ópticos
2680|Fabricación de soportes magnéticos y ópticos
27|Fabricación de material y equipo eléctrico
271|Fabricación de motores, generadores y transformadores eléctricos, y de aparatos de distribución y control eléctrico
2711|Fabricación de motores, generadores y transformadores eléctricos
2712|Fabricación de aparatos de distribución y control eléctrico
272|Fabricación de pilas y acumuladores eléctricos
2720|Fabricación de pilas y acumuladores eléctricos
273|Fabricación de cables y dispositivos de cableado
2731|Fabricación de cables de fibra óptica
2732|Fabricación de otros hilos y cables electrónicos y eléctricos
2733|Fabricación de dispositivos de cableado
274|Fabricación de lámparas y aparatos eléctricos de iluminación
2740|Fabricación de lámparas y aparatos eléctricos de iluminación
275|Fabricación de aparatos domésticos
2751|Fabricación de electrodomésticos
2752|Fabricación de aparatos domésticos no eléctricos
279|Fabricación de otro material y equipo eléctrico
2790|Fabricación de otro material y equipo eléctrico
28|Fabricación de maquinaria y equipo n.c.o.p.
281|Fabricación de maquinaria de uso general
2811|Fabricación de motores y turbinas, excepto los destinados a aeronaves, vehículos automóviles y ciclomotores
2812|Fabricación de equipos de transmisión  hidráulica y neumática
2813|Fabricación de otras bombas y compresores
2814|Fabricación de otra grifería y válvulas
2815|Fabricación de cojinetes, engranajes y órganos mecánicos de transmisión
282|Fabricación de otra maquinaria de uso general
2821|Fabricación de hornos y quemadores
2822|Fabricación de maquinaria de elevación y manipulación
2823|Fabricación de maquinas y equipos de oficina, excepto equipos informáticos
2824|Fabricación de herramientas eléctricas manuales
2825|Fabricación de maquinaria de ventilación y refrigeración no doméstica
2829|Fabricación de otra maquinaria de uso general n.c.o.p.
283|Fabricación de maquinaria agraria y forestal
2830|Fabricación de maquinaria agraria y forestal
284|Fabricación de maquinas herramienta para trabajar el metal y otras máquinas herramienta
2841|Fabricación de maquinas herramienta para trabajar el metal
2849|Fabricación de otras máquinas herramienta
289|Fabricación de otra maquinaria para usis específicos
2891|Fabricación de maquinaria para la industria metalúrgica
2892|Fabricación de maquinaria para las industrias extractivas y de la construcción
2893|Fabricación de maquinaria para la industria de la alimentación, bebidas y tabaco
2894|Fabricación de maquinaria para las industrias textil, de la confección y del cuero
2895|Fabricación de maquinaria para la industria del papel y del cartón
2896|Fabricación de maquinaria para las industrias del plástico y del caucho
2899|Fabricación de otra maquinaria para usos específicos n.c.o.p.
29|Fabricación de vehículos de motor, remolques y semirremolques
291|Fabricación de vehículos de motor
2910|Fabricación de vehículos de motor
292|Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques
2920|Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques
293|Fabricación de componentes, piezas y accesorios para vehículos de motor
2931|Fabricación de equipos eléctricos y electrónicos para vehículos de motor
2932|Fabricación de otros componentes, piezas y accesorios para vehículos de motor
30|Fabricación de otro material de transporte
301|Construcción naval
3011|Construcción de barcos y estructuras flotantes
3012|Construcción de embarcaciones de recreo y deporte
302|Fabricación de locomotoras y material ferroviario
3020|Fabricación de locomotoras y material ferroviario
303|Construcción aeronáutica y espacial y su maquinaria
3030|Construcción aeronáutica y espacial y su maquinaria
304|Fabricación de vehículos militares de combate
3040|Fabricación de vehículos militares de combate
309|Fabricación de material de transporte n.c.o.p.
3091|Fabricación de motocicletas
3092|Fabricación de bicicletas y de vehículos para personas con discapacidad
3099|Fabricación de otro material de transporte n.c.o.p.
31|Fabricación de muebles
310|Fabricación de muebles
3101|Fabricación de muebles de oficina y de establecimientos comerciales
3102|Fabricación de muebles de cocina
3103|Fabricación de colchones
3109|Fabricación de otros muebles
32|Otras industrias manufactureras
321|Fabricación de artículos de joyería, bisutería y similares
3211|Fabricación de monedas
3212|Fabricación de artículos de joyería y artículos similares
3213|Fabricación de artículos de bisutería y artículos similares
322|Fabricación de instrumentos musicales
3220|Fabricación de instrumentos musicales
323|Fabricación de artículos de deporte
3230|Fabricación de artículos de deporte
324|Fabricación de juegos y juguetes
3240|Fabricación de juegos y juguetes
325|Fabricación de instrumentos y suministros médicos y odontológicos
3250|Fabricación de instrumentos y suministros médicos y odontológicos
329|Industrias manufactureras n.c.o.p.
3291|Fabricación de escobas, brochas y cepillos
3299|Otras industrias manufactureras n.c.o.p.
33|Reparación e instalación de maquinaria y equipo
331|Reparación de productos metálicos, maquinaria y equipo
3311|Reparación de productos metálicos
3312|Reparación de maquinaria
3313|Reparación de equipos electrónicos y ópticos
3314|Reparación de equipos eléctricos
3315|Reparación y mantenimiento naval
3316|Reparación y mantenimiento aeronáutico y espacial
3317|Reparación y mantenimiento de otro material de transporte
3319|Reparación de otros equipos
332|Instalación de máquinas y equipos industriales
3320|Instalación de máquinas y equipos industriales
D|Suministro de energía eléctrica, gas, vapor y aire acondicionado
35|Suministro de energía eléctrica, gas, vapor y aire acondicionado
351|Producción, transporte y distribución de energía eléctrica
3511|Producción de energía eléctrica
3512|Transporte de energía eléctrica
3513|Distribución de energía eléctrica
3514|Comercio de energía eléctrica
352|Producción de gas; distribución por tubería de combustibles gaseosos
3521|Producción de gas
3522|Distribución por tubería de combustibles gaseosos
3523|Comercio de gas por tubería
353|Suministro de vapor y aire acondicionado
3530|Suministro de vapor y aire acondicionado
E|Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación
36|Captación, depuración y distribución de agua
360|Captación, depuración y distribución de agua
3600|Captación, depuración y distribución de agua
37|Recogida y tratamiento de aguas residuales
370|Recogida y tratamiento de aguas residuales
3700|Recogida y tratamiento de aguas residuales
38|Recogida, tratamiento y eliminación de residuos; valorización
381|Recogida de residuos
3811|Recogida de residuos no peligrosos
3812|Recogida de residuos peligrosos
382|Tratamiento y eliminación de residuos
3821|Tratamiento y eliminación de residuos no peligrosos
3822|Tratamiento y eliminación de residuos peligrosos
383|Valorización
3831|Separación y clasificación de materiales
3832|Valorización de materiales ya clasificados
39|Actividades de descontaminación y otros servicios de gestión de residuos
390|Actividades de descontaminación y otros servicios de gestión de residuos
3900|Actividades de descontaminación y otros servicios de gestión de residuos
F|Construcción
41|Construcción de edificios
411|Promoción inmobiliaria
4110|Promoción inmobiliaria
412|Construcción de edificios
4120|Construcción de edificios
42|Ingeniería civil
421|Construcción de carreteras y vías férreas, puentes y túneles
4211|Construcción de carreteras y autopistas
4212|Construcción de vías férreas de superficie y subterraneas
4213|Construcción de puentes y túneles
422|Construcción de redes
4221|Construcción de redes para fluidos
4222|Construcción de redes eléctricas y de telecomunicaciones
429|Construcción de otros proyectos de ingeniería civil
4291|Obras hidráulicas
4299|Construcción de otros proyectos de ingeniería civil n.c.o.p.
43|Actividades de construcción especializada
431|Demolición y preparación de terrenos
4311|Demolición
4312|Preparación de terrenos
4313|Perforaciones y sondeos
432|Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción
4321|Instalaciones eléctricas
4322|Fontanería, instalaciones de sistemas de calefacción y aire acondicionado
4329|Otras instalaciones en obras de construcción
433|Acabado de edificios
4331|Revocamiento
4332|Instalación de carpintería
4333|Revestimiento de suelos y paredes
4334|Pintura y acristalamiento
4339|Otro acabado de edificios
439|Otras actividades de construcción especializada
4391|Construcción de cubiertas
4399|Otras actividades de construcción especializada n.c.o.p.
G|Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas
45|Venta y reparación de vehículos de motor y motocicletas
451|Venta de vehículos de motor
4511|Venta de automóviles y vehículos de motor ligeros
4519|Venta de otros vehículos de motor
452|Mantenimiento y reparación de vehículos de motor
4520|Mantenimiento y reparación de vehículos de motor
453|Comercio de repuestos y accesorios de vehículos de motor
4531|Comercio al por mayor de repuestos y accesorios de vehículos de motor
4532|Comercio al por menor de repuestos y accesorios de vehículos de motor
454|Venta, mantenimiento y reparación de motocicletas y de sus repuestos y accesorios
4540|Venta, mantenimiento y reparación de motocicletas y de sus repuestos y accesorios
46|Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
461|Intermediarios del comercio
4611|Intermediarios del comercio de materias primas agrarias, animales vivos, materias primas textiles y productos semielaborados
4612|Intermediarios del comercio de combustibles, minerales, metales y productos químicos industriales
